year,city,number_of_high_schools,number_of_bachelor_graduates_in_percent,number_of_high_school_graduates_in_percent,number_of_high_school_students,Registration_for_higher_education_within_8_years_in_percent,number_of_students_in_percent
2019,עומר,1,59.72,86.89,399,..,4.06
2019,עיילבון,1,21.47,55.34,273,..,3.54
2019,עילוט,1,2.94,62.58,443,16,1.17
2019,עין מאהל,3,9.3,34.93,900,21.30,1.96
2019,עין קנייא,-,6.65,89.19,-,..,2.88
2019,עכו,11,13.37,70.88,2458,34.20,2.42
2019,עמנואל,1,6.68,43.28,90,..,0.79
2019,עספיא,2,14.38,84.51,619,26.80,2.96
2019,עפולה,10,16.57,65.64,1959,33.50,2.89
2019,עראבה,5,16.18,77.65,1543,30.20,2.96
2019,ערד,6,12.36,51.48,1096,22.90,1.53
2019,ערערה,3,14.85,68.07,1037,17.90,2.32
2019,ערערה-בנגב,5,7.26,25.41,1449,12.40,1.17
2019,פוריידיס,4,8.63,72.83,803,17,1.9
2019,פסוטה,-,23.54,74.19,-,..,4.56
2019,פקיעין (בוקייעה),1,20.12,92.71,240,43.10,3.62
2019,פרדס חנה-כרכור,8,41.91,75.48,1176,30.10,2.43
2019,פרדסייה,-,48.06,90.80,-,48.20,4.3
2019,פתח תקווה,54,33.22,74.84,11421,41.80,2.52
2019,צפת,14,15.39,48.19,2093,33.10,2.72
2019,קדומים,2,54.37,84.78,454,..,4.17
2019,קדימה-צורן,1,48.97,88.56,985,35.80,3.17
2019,קלנסווה,4,11.7,59.06,1471,26,2.92
2019,קצרין,2,17.46,66.67,620,..,3.36
2019,קריית אונו,3,56.84,89.46,1788,55.80,3.3
2019,קריית ארבע,2,26.43,68.33,418,35.70,4.5
2019,קריית אתא,8,20.88,76.96,1843,42.50,2.53
2019,קריית ביאליק,2,26.57,78.89,1414,34.30,2.63
2019,קריית גת,14,13.83,63.80,2509,23.40,2.14
2019,קריית טבעון,3,54.58,80.80,869,50.10,3.9
2019,קריית ים,3,13.46,66.92,975,35.20,1.93
2019,קריית יערים,2,15.67,24.07,207,..,2.13
2019,קריית מוצקין,4,28.99,79.15,1602,38.30,2.78
2019,קריית מלאכי,7,12.15,65.20,885,27.10,2.07
2019,קריית עקרון,1,15.5,72.46,197,35.70,2.68
2019,קריית שמונה,6,14.34,63.40,887,38.50,4.43
2019,קרני שומרון,1,38.94,76.32,306,..,4.64
2019,ראמה,3,20.53,75,914,38.70,3.39
2019,ראש העין,5,34.39,75.25,1685,38.40,3.16
2019,ראש פינה,-,38.35,72.73,-,..,4.28
2019,ראשון לציון,30,26.26,81.73,9447,44.20,2.99
2019,רהט,11,7.49,57.43,3644,16.20,1.77
2019,רחובות,28,39.02,77.01,6126,42.40,3.16
2019,ריינה,3,8.92,59.32,1022,22.40,2.24
2019,רכסים,9,7.82,15.93,855,20.70,1.12
2019,רמלה,15,9.04,64.85,3293,25.40,1.73
2019,רמת גן,15,42.17,83.90,6455,51.60,3.87
2019,רמת השרון,5,55.9,79.26,2911,58.30,3.07
2019,רמת ישי,-,52.18,79.80,-,..,4.76
2019,רעננה,13,43.8,87.75,3644,55.80,3.54
2019,שבלי - אום אל-גנם,1,11.03,56.25,355,..,2.26
2019,שגב-שלום,3,7.6,36.41,1383,12.20,1.3
2019,שדרות,4,17.65,78.44,752,34.20,3.99
2019,שוהם,2,59.41,91.91,1261,64.80,5.97
2019,שלומי,1,16.21,66,132,..,2.11
2019,שעב,1,9.96,51.24,366,..,2.9
2019,שפרעם,9,11.31,56.50,2204,27.60,2.45
2019,תל אביב -יפו,68,44.63,74.39,13872,44.90,4.78
2019,תל מונד,1,53.31,91.48,690,54.80,3.56
2019,תל שבע,5,7.39,40.58,1358,11.20,1.59
2018,אבו גוש,3,39.34,24.50,294,10.7,20.4
2018,אבו סנאן,3,47.56,28.85,577,11.1,10.1
2018,אבן יהודה,3,76.92,26.20,1153,53.9,14.2
2018,אום אל-פחם,13,44.27,27.44,3704,7.7,10.7
2018,אופקים,11,33.77,22.97,1424,10.3,5.8
2018,אור יהודה,7,51.3,23.64,1111,12.6,11.8
2018,אור עקיבא,5,61.3,20.46,798,12.7,9.1
2018,אורנית,1,79.47,27.80,417,46.0,13.4
2018,אזור,-,57.6,-,-,20.4,11.0
2018,אילת,7,62.06,22.93,1903,10.1,6.1
2018,אכסאל,5,41.23,30.17,875,11.6,9.8
2018,אליכין,-,58.46,-,-,25.2,11.7
2018,אלעד,30,16.49,30.17,3500,10.2,6.5
2018,אלפי מנשה,-,79.56,-,-,34.9,9.1
2018,אלקנה,2,86.84,25.13,377,63.5,43.4
2018,אעבלין,4,62.65,28.33,1388,11.1,15.7
2018,אפרת,3,81.02,26.22,603,45.8,21.3
2018,אריאל,2,65.95,22.48,472,21.6,47.5
2018,אשדוד,54,48.11,24.94,11497,13.9,10.7
2018,אשקלון,21,60.25,24.33,5109,17.5,11.6
2018,באקה אל-גרביה,6,47.87,27.11,1952,11.5,15.2
2018,באר יעקב,7,53.75,22.87,1212,31.5,8.9
2018,באר שבע,31,62.03,24.82,7693,19.6,15.9
2018,בועיינה-נוג'ידאת,2,41.71,30.24,635,9.5,14.5
2018,בוקעאתא,1,68.18,26.58,319,4.9,12.6
2018,ביר אל-מכסור,1,37.88,28.79,547,6.6,8.4
2018,בית אל,4,75.52,27.17,951,43.2,23.3
2018,בית אריה,-,67.03,-,-,27.7,11.5
2018,בית ג'ן,1,78.33,26.50,636,13.6,14.5
2018,בית דגן,-,72.0,-,-,24.1,13.9
2018,בית שאן,6,54.7,17.44,750,11.6,10.0
2018,בית שמש,52,32.41,25.28,6674,9.7,8.8
2018,ביתר עילית,38,5.84,28.71,4220,4.6,5.1
2018,בני ברק,107,4.72,29.54,17369,6.3,2.8
2018,"בני עי""ש",-,64.29,-,-,11.2,10.0
2018,בנימינה-גבעת עדה*,2,77.42,32.57,749,58.5,8.8
2018,"בסמ""ה",2,42.8,27,648,11.0,12.2
2018,בסמת טבעון,1,53.1,27.54,358,7.7,9.2
2018,בענה,2,55.1,25.65,667,7.2,14.6
2018,בת ים,17,58.88,22.88,3547,9.0,9.3
2018,גבעת זאב,1,43.51,-,-,20.9,11.2
2018,גבעת שמואל,2,88.17,31.59,695,56.3,31.0
2018,גבעתיים,5,86.92,31.75,2413,53.0,18.9
2018,ג'דיידה-מכר,4,52.33,27.50,1100,8.8,11.6
2018,גדרה,6,78.71,29.55,1655,40.4,11.9
